Campaign_ID,Previous_Sales,During_Campaign_Sales,Foot_Traffic_Before_Campaign,Foot_Traffic_During_Campaign,Campaign_Duration_Days,Campaign_Success,Promotion_Type_Discount,Promotion_Type_Happy Hour,Promotion_Type_Loyalty Program,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
1,0.11345939933259178,0.7694877505567927,0.5338345864661653,0.4608378870673952,0.4285714285714285,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,0.4838709677419355,0.799554565701559,0.2907268170426065,0.774134790528233,0.5714285714285714,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9566184649610678,0.33630289532293983,0.9649122807017543,0.994535519125683,0.7142857142857143,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.3003337041156841,0.7104677060133631,0.8596491228070176,0.5482695810564662,0.9999999999999999,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0.11790878754171302,0.061247216035634766,0.17794486215538846,0.6338797814207651,0.7142857142857143,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,0.07897664071190211,0.807349665924276,0.987468671679198,0.08743169398907102,0.14285714285714285,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.778642936596218,0.5846325167037862,0.15789473684210525,0.13296903460837883,0.5714285714285714,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.022246941045606233,0.5267260579064588,0.5112781954887218,0.47358834244080145,0.7142857142857143,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
9,0.6829810901001112,0.030066815144766168,0.5213032581453634,0.6466302367941712,0.5714285714285714,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0.1345939933259177,0.08574610244988862,0.17794486215538846,0.4717668488160291,0.4285714285714285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.5183537263626251,0.23942093541202675,0.6917293233082706,0.53551912568306,0.14285714285714285,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.23804226918798665,0.4287305122494432,0.6842105263157894,0.5683060109289617,0.7142857142857143,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0.3670745272525028,0.4053452115812917,0.7994987468671679,0.3296903460837887,0.8571428571428571,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.5094549499443827,0.7405345211581291,0.844611528822055,0.6612021857923498,0.4285714285714285,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,0.0967741935483871,0.5846325167037862,0.9147869674185463,0.3406193078324226,0.9999999999999999,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,0.4137931034482759,0.77728285077951,0.23558897243107768,0.9872495446265936,0.8571428571428571,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.11012235817575083,0.3463251670378619,0.4135338345864661,0.9963570127504553,0.8571428571428571,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
